tiempo,dato1a.n_seg,dato1b.n_seg,dato1c.n_seg,dato2a.n_seg,dato2b.n_seg,dato2c.n_seg,dato3a.n_seg,dato3b.n_seg,dato3c.n_seg,dato4a.n_seg,dato4b.n_seg,dato4c.n_seg,dato5a.n_seg,dato5b.n_seg,dato5c.n_seg,dato6a.n_seg,dato6b.n_seg,dato6c.n_seg,dato7a.n_seg,dato7b.n_seg,dato7c.n_seg,dato8a.n_seg,dato8b.n_seg,dato8c.n_seg,dato9a.n_seg,dato9b.n_seg,dato9c.n_seg,dato10a.n_seg,dato10b.n_seg,dato10c.n_seg,dato11a.n_seg,dato11b.n_seg,dato11c.n_seg,dato12a.n_seg,dato12b.n_seg,dato12c.n_seg,dato13a.n_seg,dato13b.n_seg,dato13c.n_seg,dato14a.n_seg,dato14b.n_seg,dato14c.n_seg,dato15a.n_seg,dato15b.n_seg,dato15c.n_seg,dato16a.n_seg,dato16b.n_seg,dato16c.n_seg,dato17a.n_seg,dato17b.n_seg,dato17c.n_seg,dato18a.n_seg,dato18b.n_seg,dato18c.n_seg,dato19a.n_seg,dato19b.n_seg,dato19c.n_seg,dato20a.n_seg,dato20b.n_seg,dato20c.n_seg,mean
11,3,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,3,2,2,2,2,3,3,3,2,3,2,3,3,3,2,2,1,3,2,3,3,3,3,3,2,2,3,2,3,3,3,3,2,3,3,1,3,3,3,3,3,3,3,3,2.666666667
12,3,3,1,3,2,2,2,3,3,2,3,3,3,1,3,2,2,2,3,3,2,2,2,2,2,2,2,1,2,2,3,3,3,2,3,3,2,3,3,3,3,2,3,3,3,2,2,1,3,2,4,2,2,2,2,4,2,3,3,1,2.416666667
13,3,3,2,3,3,3,3,2,3,3,2,2,3,2,3,3,2,2,2,2,3,3,3,3,3,2,2,3,3,3,2,2,3,3,3,2,3,2,2,2,2,2,3,3,3,2,3,3,3,3,2,3,2,2,3,3,3,2,3,3,2.6
14,2,3,3,2,3,2,2,3,2,2,3,3,2,2,3,2,3,3,3,3,2,1,2,2,2,3,3,2,2,2,2,3,2,2,2,3,2,2,3,2,3,2,3,2,2,3,2,3,2,3,1,3,2,3,3,3,3,3,1,3,2.416666667
15,3,3,1,3,3,3,3,3,3,2,2,2,3,2,2,1,3,1,2,2,2,2,3,3,2,2,2,2,3,3,2,2,3,2,3,3,2,2,2,3,2,3,2,3,3,2,3,3,2,2,3,2,3,2,2,2,2,2,3,2,2.383333333
16,2,2,2,2,3,3,2,3,3,3,3,3,3,2,3,2,2,3,2,1,2,2,2,2,2,2,2,3,2,2,3,2,3,3,2,2,2,3,3,2,2,2,3,2,3,2,2,2,3,3,2,3,3,2,3,3,1,3,3,3,2.416666667
17,2,3,3,3,2,3,3,2,2,2,2,2,1,3,2,3,2,2,3,2,3,3,2,2,3,3,3,2,3,2,2,2,3,2,2,3,3,2,2,2,2,3,3,3,2,2,2,2,2,2,3,2,2,3,3,3,3,2,3,3,2.433333333
18,3,2,3,2,2,3,2,2,3,2,3,3,3,2,3,2,3,2,2,2,2,2,3,3,2,2,3,3,2,2,2,4,2,2,3,0,2,3,2,3,3,2,2,2,2,3,3,2,3,3,3,2,3,2,2,3,3,3,2,3,2.45
19,1,3,3,2,3,2,2,0,2,3,2,2,3,3,2,3,2,3,2,3,3,3,2,2,2,2,2,2,2,3,2,2,3,3,3,1,3,2,3,2,2,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,2,2,3,3,2.416666667
20,3,3,2,1,2,3,3,0,3,2,2,2,3,2,2,2,3,2,2,3,2,2,2,2,2,2,0,1,3,2,2,2,1,2,3,0,2,3,3,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,2,3,3,3,3,2.166666667
21,3,2,2,0,0,3,1,0,2,2,2,3,2,1,2,3,2,2,3,2,3,3,2,2,3,2,1,3,2,2,3,3,0,2,3,0,2,2,1,2,2,3,2,2,3,2,2,2,2,3,2,1,3,3,3,3,2,3,2,2,2.083333333
22,3,3,3,0,2,2,0,2,3,2,3,2,3,3,3,1,2,3,2,2,2,2,3,1,2,3,0,2,2,1,2,2,1,3,1,0,3,3,2,2,3,2,3,2,3,2,3,1,2,2,3,3,2,2,2,3,2,2,2,2,2.116666667
23,2,2,3,0,0,3,1,2,2,3,2,0,3,2,2,3,3,3,2,3,2,3,0,2,1,2,2,2,2,2,2,2,2,2,3,0,2,2,3,3,2,1,3,3,2,3,2,2,3,3,3,2,3,3,2,2,3,2,3,3,2.166666667
24,2,3,2,0,0,3,1,0,3,2,1,0,1,3,3,2,2,2,2,1,2,0,0,0,2,2,3,3,2,3,2,2,2,2,2,0,2,3,2,2,3,1,3,2,3,2,2,2,2,2,3,3,3,2,2,2,2,3,0,3,1.9
25,2,2,2,0,1,2,0,2,2,2,1,0,3,2,2,2,3,3,2,3,3,2,1,0,2,2,3,2,1,2,2,2,0,2,3,0,3,2,0,2,2,0,2,3,3,1,2,2,2,3,3,3,1,2,3,3,1,2,0,2,1.833333333
26,3,3,3,0,0,2,1,2,3,2,3,1,3,3,2,3,2,3,3,2,3,2,0,0,3,3,3,2,1,3,2,3,0,3,3,0,2,3,3,3,1,2,2,2,2,1,3,1,3,2,2,2,3,3,2,3,0,3,0,2,2.083333333
27,2,3,1,0,0,1,0,3,2,3,2,1,1,2,3,2,2,2,2,3,2,1,0,0,1,2,2,2,2,2,3,1,1,2,2,0,2,1,2,2,0,0,3,3,2,0,3,0,2,2,3,3,3,2,2,2,1,3,0,3,1.7
28,3,2,1,1,0,3,0,2,3,2,2,0,3,3,2,2,0,2,2,1,2,0,0,0,0,2,2,3,1,2,2,1,0,3,3,0,3,3,2,2,0,0,1,2,3,0,2,2,3,2,3,2,2,2,1,2,2,2,0,2,1.633333333
29,2,3,2,0,0,3,0,3,2,2,2,2,2,3,3,3,1,1,3,3,2,1,0,0,0,2,2,2,0,3,2,2,0,2,0,0,3,2,2,2,0,0,2,2,2,1,2,0,1,2,2,3,3,3,3,3,1,3,0,2,1.7
30,3,2,2,0,0,2,0,2,2,2,3,1,2,2,2,2,1,2,2,3,2,0,0,0,0,3,2,3,1,2,3,2,0,2,2,0,2,2,3,2,2,0,2,0,3,1,2,1,3,3,3,1,2,2,0,2,1,2,0,1,1.616666667
31,3,3,0,0,0,2,0,2,2,2,1,0,3,3,2,2,0,2,1,2,2,0,0,0,0,2,2,2,1,2,2,2,0,3,3,0,1,2,2,3,0,0,3,1,2,0,1,0,2,2,1,3,2,3,0,2,2,2,0,1,1.433333333
32,2,3,0,0,0,2,0,1,2,3,1,1,1,2,2,2,0,2,1,2,3,0,2,1,0,2,2,1,3,2,2,3,0,2,1,0,2,3,1,1,1,0,3,0,3,1,0,0,2,2,3,3,2,2,2,2,1,1,0,0,1.433333333
33,2,2,1,0,0,1,0,0,2,1,0,2,2,3,2,1,0,2,1,2,1,0,1,0,0,2,1,3,2,2,3,2,0,3,1,0,2,2,1,1,0,0,1,1,2,0,0,1,3,3,2,2,2,2,1,1,1,2,0,0,1.25
34,3,2,0,0,2,0,0,0,3,3,0,2,2,2,3,1,0,2,1,2,2,0,0,0,0,2,1,2,3,0,2,2,0,2,2,2,3,2,0,1,0,0,2,1,3,0,0,1,2,2,2,3,2,2,2,1,1,1,1,0,1.333333333
35,3,3,1,0,0,0,0,0,2,1,1,0,3,3,1,1,0,1,1,2,2,0,0,0,0,3,1,2,3,1,2,2,1,2,1,3,2,2,1,1,1,0,3,0,2,0,0,0,2,2,2,2,3,2,0,1,1,0,1,0,1.233333333
